question,answer,correct_feedback,incorrect_feedback,hint
"1. 根據艾瑞克森（Erikson）的理論，6 至 12 歲的學齡兒童，其發展重點為何？ (A) 使之成，使之像 (B) 成為自己，分享成為自己的經驗 (C) 做東西，一起做東西 (D) 失去自我並在他人身上找到自我","C","答對了！勤奮進取期。","答錯了。","提示：勤奮進取 vs 自卑。"
"2. 當學生追求的是「學習目標」（Learning goals）而非「表現目標」時，他們最可能展現出下列何種行為？ (A) 選修簡單的學科以獲得好成績 (B) 選修困難的學科並尋求挑戰 (C) 避免任何可能失敗的機會 (D) 僅在有外在酬賞時才努力","B","正確！挑戰是學習的動力。","答錯了。","提示：他們重視能力的增長。"
"3. 教師為了傳達「正向期待」，下列哪一項做法是符合來源建議的？ (A) 公開表揚成績最優異的學生以激勵他人 (B) 縮短等待學生回答問題的時間以維持課堂流暢 (C) 對所有學生提供平等的提問和互動機會 (D) 根據學生的過去表現進行能力分組教學","C","沒錯！平等對待每一位學生。","答錯了。","提示：公平性。"
"4. 在歸因理論（Attribution theory）中，學生若將失敗歸因於「運氣」，這屬於哪種向度的組合？ (A) 內在、穩定、可控制 (B) 外在、不穩定、不可控制 (C) 外在、穩定、不可控制 (D) 內在、不穩定、可控制","B","答對了！運氣是外在且不穩定的。","答錯了。","提示：運氣不是自己能控制的。"
"5. 關於馬斯洛（Maslow）的需求層次論，下列敘述何者正確？ (A) 知識與美感需求屬於「匱乏需求」 (B) 匱乏需求一旦滿足後，動機反而會增加 (C) 最重要的匱乏需求可能是愛與自尊 (D) 飢餓的學生仍能有強烈動機達成高層次的成長目標","C","正確！愛與隸屬、自尊是重要的匱乏需求。","答錯了。","提示：匱乏需求滿足後動機下降。"
"6. 柯柏格（Kohlberg）的道德推理階段中，哪一個階段的人認為「所謂『對』就是盡責、尊重權威，以及維護社會秩序」？ (A) 第三階段：好男孩-好女孩取向 (B) 第四階段：法律秩序取向 (C) 第五階段：社會契約取向 (D) 第一階段：懲罰與服從取向","B","答對了！法律與秩序。","答錯了。","提示：維護社會秩序。"
"7. 在智力理論中，斯騰伯格（Sternberg）提出的「智力三元論」不包含下列哪一項？ (A) 組合性智力（分析能力） (B) 經驗性智力（創造能力） (C) 肆應性智力（實踐能力） (D) 空間智力（視覺轉換能力）","D","正確！空間智力不屬於三元論。","答錯了。","提示：三元論包括分析、創造、實踐。"
"8. 若一位學生在「隱圖測驗」（Embedded figure test）中能迅速且準確地在繁雜圖形中查出簡單形式，該生較偏向哪種認知類型？ (A) 場地依賴型 (Field dependent) (B) 場地獨立型 (Field independent) (C) 衝動型 (Impulsive style) (D) 內省型 (Intra-personal style)","B","答對了！場地獨立型不受背景影響。","答錯了。","提示：獨立於背景。"
"9. 為了有效使用「讚美」來激勵學生，教師應遵循下列哪項原則？ (A) 讚美的數量越多越有效 (B) 提供籠統、廣泛的讚美以涵蓋所有行為 (C) 讚美應具有「依存性」，即表現出特定預期行為時才給予 (D) 應在行為發生較長時間後才給予讚美以利回顧","C","正確！讚美要具體且即時。","答錯了。","提示：針對特定行為。"
"10. 皮亞傑（Piaget）的道德發展論中，所謂「他律道德」階段的兒童主要依據什麼來判斷行為的是非對錯？ (A) 行為者的主觀動機 (B) 行為產生的客觀結果 (C) 社會契約的公平性 (D) 自身的特殊功利需求","B","答對了！看結果不看動機。","答錯了。","提示：打破1個杯子 vs 打破10個杯子。"